,idx,company_name,interests,경영컨설팅마케팅,경제금융,과학공학기술IT,교육,문화역사,뷰티미용화장품,사회공헌교류,언론미디어,여행호텔항공,요리식품,의료보건,정치사회법률,창업자기계발,행사페스티벌,환경에너지,기타체육헬스,디자인사진예술영상콘텐츠,prefer,리더십,멘토링/수업 진행 경험,모두 지원 가능,사진/영상/디자인 툴,외국어,우대역량_기타,취재/인터뷰/기사 경험,컴퓨터 활용능력,콘텐츠 기획/제작 경험,타 대외활동 경험,파워블로거/SNS,행사 기획 경험,휴학 중/시간 투자 가능,모집 인원,모집인원규모
0,53987,스카이(SKY),과학공학기술IT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험",0,0,0,1,0,0,1,0,1,1,1,0,0,99,중
1,53989,서주제과(주)   ,요리식품,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
2,53990,이석영뉴미디어도서관,문화역사,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,9,소
3,53991,관세청   ,경제금융,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험",0,0,0,1,0,0,1,0,0,0,0,0,0,99,중
4,53993,독산동우시장일대 도시재생지원센터,문화역사,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
5,53994,GH공사   ,디자인사진예술영상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 타 대외활동 경험",0,1,0,1,0,0,1,1,1,1,1,0,0,6,소
6,53995,문경시,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,파워블로거/SNS,0,0,0,0,0,0,0,0,0,0,1,0,0,99,중
7,53996,ICN Group,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,10,소
8,53997,서울특별시,디자인사진예술영상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
9,53998,시립강북청소년센터,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
10,53999,청우식품,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,10,소
11,54000,후변화센터,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,25,중
12,54001,엘리스   ,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"콘텐츠 기획/제작 경험, 컴퓨터 활용능력",0,0,0,0,0,0,0,1,1,0,0,0,0,99,중
13,54008,한국경제신문,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,10,소
14,54011,한국경제신문,창업자기계발,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,외국어,0,0,0,0,1,0,0,0,0,0,0,0,0,100,중
15,54012,모두의마을   ,문화역사,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,16,소
16,54037,HumaNect Lab   ,디자인사진예술영상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 외국어, 리더십, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험",1,1,0,1,1,0,1,1,1,1,1,1,1,20,소
17,54039,알바천국   ,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,5,소
18,54041,G.bike,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,우대역량_기타,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
19,54061,ISE(Institute of Smart Education),과학공학기술IT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
20,54063,스마트미디어인재개발원   ,과학공학기술IT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,컴퓨터 활용능력,0,0,0,0,0,0,0,1,0,0,0,0,0,99,중
21,54065,녹색식품연구소   ,요리식품,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,20,소
22,54068,오뚜일요학교,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,우대역량_기타,0,0,0,0,0,1,0,0,0,0,0,0,0,1,소
23,54070,국립대학 육성사업 발전협의회   ,디자인사진예술영상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험",0,0,0,1,0,0,0,0,1,1,1,0,0,20,소
24,54072,니들리,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,150,대
25,54074,라니샵,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,우대역량_기타,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
26,54077,오리온   ,요리식품,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,타 대외활동 경험,0,0,0,0,0,0,0,0,0,1,0,0,0,9,소
27,54078,The Psychology Times   ,언론미디어,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험",0,0,0,0,0,0,1,0,1,1,0,0,0,99,중
28,54080,바람의아이들 출판사,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,파워블로거/SNS,0,0,0,0,0,0,0,0,0,0,1,0,0,9,소
29,54083,경도,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,70,중
30,54085,보험닷컴,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,20,소
31,54088,금강유역환경청,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,20,소
32,54090,삼성전자,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,30,중
33,54092,한국선거방송,정치사회법률,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,우대역량_기타,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
34,54096,스포트라이트,콘텐츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,9,소
35,54101,(주)애드플래닛커뮤니케이션,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,파워블로거/SNS,0,0,0,0,0,0,0,0,0,0,1,0,0,9,소
