,id,recruit,prefer,activity_benefit,interests,fields,경영/컨설팅/마케팅,경제/금융,과학/공학/기술/IT,교육,기타,디자인/사진/예술/영상,문화/역사,뷰티/미용/화장품,사회공헌/교류,언론/미디어,여행/호텔/항공,요리/식품,유통/물류,의료/보건,정치/사회/법률,창업/자기계발,체육/헬스,콘텐츠,행사/페스티벌,환경/에너지,교통비,봉사활동시간,사은품 지급,수료증 및 인증서,실무 교육,인턴쉽 기회,입사시 혜택,전문가/임직원 멘토링,행사 참여,활동비,fields_기타,강연,기자단,마케터,멘토링,봉사단-국내,봉사단-해외,서포터즈,해외탐방-무료,해외탐방-유료,리더십,멘토링/수업 진행 경험,사진/영상/디자인 툴,외국어,우대역량_기타,취재/인터뷰/기사 경험,컴퓨터 활용능력,콘텐츠 기획/제작 경험,타 대외활동 경험,파워블로거/SNS,행사 기획 경험,휴학 중/시간 투자 가능,모집 인원,모집인원규모
0,120014,15명,우대역량_기타,행사 참여,"교육, 창업/자기계발","fields_기타, 강연",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,소
1,120021,00명,멘토링/수업 진행 경험,"수료증 및 인증서, 봉사활동시간","교육, 사회공헌/교류","봉사단-국내, 멘토링",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
2,120025,00명,"파워블로거/SNS, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서","문화/역사, 콘텐츠","서포터즈, fields_기타",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,99,중
3,120027,10명,"사진/영상/디자인 툴, 멘토링/수업 진행 경험, 리더십, 휴학 중/시간 투자 가능","활동비, 수료증 및 인증서","교육, 사회공헌/교류","봉사단-국내, 멘토링",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,10,소
4,120033,30명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 휴학 중/시간 투자 가능","행사 참여, 수료증 및 인증서","언론/미디어, 사회공헌/교류","강연, 멘토링",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,30,중
5,120034,5명,"휴학 중/시간 투자 가능, 행사 기획 경험","행사 참여, 수료증 및 인증서","교육, 환경/에너지","서포터즈, fields_기타",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,소
6,120036,0000000명,우대역량_기타,"사은품 지급, 실무 교육","교육, 경영/컨설팅/마케팅",fields_기타,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,인원미정
8,120057,00명,우대역량_기타,행사 참여,"교육, 사회공헌/교류","강연, fields_기타",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
9,120059,30명,취재/인터뷰/기사 경험,"활동비, 수료증 및 인증서","과학/공학/기술/IT, 사회공헌/교류","서포터즈, 마케터",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,중
10,120069,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","활동비, 수료증 및 인증서","언론/미디어, 콘텐츠","서포터즈, 기자단",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,99,중
